SOURCE:
[  0.680375434309419,   0.823294715873569,  -0.444450578393624,  -0.270431054416313]
[ -0.211234146361814,  -0.604897261413232,   0.107939911590861,   0.026801820391231]
[  0.566198447517212,  -0.329554488570222, -0.0452058962756795,   0.904459450349426]
[  0.596880066952147,   0.536459189623808,   0.257741849523849,   0.832390136007401]
COPY:
[  0.680375434309419,   0.823294715873569,  -0.444450578393624,  -0.270431054416313]
[ -0.211234146361814,  -0.604897261413232,   0.107939911590861,   0.026801820391231]
[  0.566198447517212,  -0.329554488570222, -0.0452058962756795,   0.904459450349426]
[  0.596880066952147,   0.536459189623808,   0.257741849523849,   0.832390136007401]
TIME:
1
rows/cols,time_us
5,1
7,0
9,0
11,1
13,1
15,1
17,0
19,1
21,1
23,1
25,1
27,0
29,1
31,1
33,1
35,1
37,1
39,1
41,1
43,0
45,1
47,1
49,1
51,1
53,2
55,1
57,1
59,2
61,1
63,2
65,2
67,2
69,2
71,2
73,2
75,2
77,2
79,2
81,2
83,2
85,2
87,2
89,3
91,3
93,3
95,3
97,2
99,2
EOF
